Sr. No,Primary Odor,Sub-odor,CAS-Id,Chemical name,SMILES
280,Alliaceous,Onion,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
387,Ammonia,Ammonia,1336-21-6,Ammonium hydroxide,[NH4+].[OH-]
517,Aromatic,Clove,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
1302,Bakery,Buttery,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
1348,Bakery,Malty,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
1532,Bakery,Roasted,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
1547,Bakery,Roasted,17114-82-8,Sodium (4-methoxybenzoyloxy)acetate,COC1=CC=C(C=C1)C(=O)OCC(=O)[O-].[Na+]
1926,Bitter,Bitter,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
1931,Bland,Bland,126-96-5,"Acetic acid, sodium salt (2:1)",CC(=O)O.CC(=O)[O-].[Na+]
1932,Bland,Bland,150436-68-3,Sodium 2-(4-methoxyphenoxy)propanoate,CC(C(=O)[O-])OC1=CC=C(C=C1)OC.[Na+]
2022,Beverage,Malty,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
2343,Brown,Brown,17114-82-8,Sodium (4-methoxybenzoyloxy)acetate,COC1=CC=C(C=C1)C(=O)OCC(=O)[O-].[Na+]
3333,Caramel,Buttery,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
4662,Chemical/ Hydrocar,Sulphurous,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
4668,Chemical/ Hydrocar,Sulphurous,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
4673,Chemical/ Hydrocar,Sulphurous,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
4978,Chocolate,Cocoa,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
5480,Cooked,Cooked,17114-82-8,Sodium (4-methoxybenzoyloxy)acetate,COC1=CC=C(C=C1)C(=O)OCC(=O)[O-].[Na+]
5582,Dairy,Buttery,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
5725,Dairy,Cheese,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
6265,Dry fruit,Almond,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
6387,Dry fruit,Hazelnut,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
7849,Fishy/ Ammonia,Ammonia,1336-21-6,Ammonium hydroxide,[NH4+].[OH-]
10012,Food,Cocoa,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
10298,Food,Meaty,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
10697,Food,Spices,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
13840,Fragrant,Sweet,3184-13-2,L-Ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
14346,Fragrant,Sweet,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
15641,Fragrant/ Fruity,Fruity,3715-29-5,Sodium 3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-].[Na+]
15668,Fragrant/ Fruity,Fruity,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
15935,Fragrant/ Fruity,Fruity,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
16488,Fragrant/ Fruity,Green,3184-13-2,L-Ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
17097,Fragrant/ Fruity,Green,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
20117,Grains,Barley,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
21416,Green,Green,3184-13-2,L-Ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
22025,Green,Green,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
23443,Lemon,Sour,2067-03-08 00:00:00,Thiamine hydrochloride,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-]
23595,Marshy/ Septic/ Sulp,Onion,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
23870,Marshy/ Septic/ Sulp,Sulphurous,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
23876,Marshy/ Septic/ Sulp,Sulphurous,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
23881,Marshy/ Septic/ Sulp,Sulphurous,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
24214,Medicinal/ Phenolic,Phenolic,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
26935,Nature,Fruity,3715-29-5,Sodium 3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-].[Na+]
26962,Nature,Fruity,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
27229,Nature,Fruity,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
27640,Nature,Sulphurous,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
27646,Nature,Sulphurous,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
27651,Nature,Sulphurous,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
28802,Non-vegetarian,Meaty,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
29254,Nutty,Almond,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
29295,Nutty,Hazelnut,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
29581,Nutty,Nutty,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
29744,Other,Mild,91052-72-1,Glyceryl 3-oxohexanoate,CCCC(=O)CC(=O)O.C(C(CO)O)O
30522,Popcorn,Almond,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
30565,Poultry,Eggs,12135-76-1,Diammonium sulfide,[NH4+].[NH4+].[S-2]
31079,Restaurant,Coffee,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
31920,Sharp/ Pungent,Sour,2067-03-08 00:00:00,Thiamine hydrochloride,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-]
32326,Sickening,Onion,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
32824,Sickening,Sulphurous,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
32830,Sickening,Sulphurous,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
32835,Sickening,Sulphurous,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
33560,Spices,Clove,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
34096,Spices,Spices,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
34490,Sulphur/ Cabbage/ G,Sulphurous,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
34496,Sulphur/ Cabbage/ G,Sulphurous,10255-67-1,Sodium mercaptopyruvate,C(C(=O)C(=O)[O-])S.[Na+]
34501,Sulphur/ Cabbage/ G,Sulphurous,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
35662,Sweet,Fruity,3715-29-5,Sodium 3-methyl-2-oxobutanoate,CC(C)C(=O)C(=O)[O-].[Na+]
35689,Sweet,Fruity,4502-00-5,Sodium 4-methyl-2-oxovalerate,CC(C)CC(=O)C(=O)[O-].[Na+]
35956,Sweet,Fruity,1333-09-1,"1,2,3-Propanetriol, cyclic ether with (2-methylphenyl)methanediol",CC1=CC=CC=C1C(O)O.C(C(CO)O)O
36196,Sweet,Malty,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
36990,Sweet,Sweet,3184-13-2,L-Ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
37496,Sweet,Sweet,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
38670,Vegetables,Onion,8002-72-0,D-Isoleucine methyl ester hydrochloride,CCC(C)C(C(=O)OC)N.Cl
38721,Vegetables,Potato,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
38722,Vegetables,Potato,36731-41-6,2-Ethyl-5(6)-methylpyrazine,CCC1=NC(=CN=C1)C.CCC1=NC=C(N=C1)C
38830,Vegetables,Tomato,1115-84-0,Methylmethionine sulfonium chloride,C[S+](C)CCC(C(=O)O)N.[Cl-]
38878,Vegetation,Cortex,3184-13-2,L-Ornithine hydrochloride,C(CC(C(=O)O)N)CN.Cl
40630,Woody,Phenolic,24276-84-4,Sodium ferulate,COC1=C(C=CC(=C1)C=CC(=O)[O-])O.[Na+]
